"","eld_bounds","pop_in_000","pct","inc_level"
"236","JURONG",4.92105262571474,5.83409704352842,"$7,000 - $7,999"
"237","KEBUN BARU",1.22479992216297,3.95277155012692,"$7,000 - $7,999"
"238","MACPHERSON",0.528773425910391,3.90880965537049,"$7,000 - $7,999"
"239","MARINE PARADE",4.70591833732114,3.86777836701327,"$7,000 - $7,999"
"240","MARSILING-YEW TEE",4.4434886496504,4.88788482406791,"$7,000 - $7,999"
"241","MARYMOUNT",0.687440699697822,5.65517119754873,"$7,000 - $7,999"
"242","MOUNTBATTEN",1.34860369762527,4.20191989965349,"$7,000 - $7,999"
"243","NEE SOON",3.84649445445157,3.85911629667162,"$7,000 - $7,999"
"244","PASIR RIS-PUNGGOL",6.90615085186907,6.0540413635583,"$7,000 - $7,999"
"245","PIONEER",0.708712994103038,6.04914933837429,"$7,000 - $7,999"
"246","POTONG PASIR",1.63875730858899,4.1622626389412,"$7,000 - $7,999"
"247","PUNGGOL WEST",0.72133488716238,8.09894378644775,"$7,000 - $7,999"
"248","RADIN MAS",0.819371315785356,5.10948905109489,"$7,000 - $7,999"
"249","SEMBAWANG",6.62601429029565,5.38427744435749,"$7,000 - $7,999"
"250","SENGKANG",3.56920913752805,5.94284678977765,"$7,000 - $7,999"
"251","TAMPINES",3.02820720603647,4.64649858339657,"$7,000 - $7,999"
"252","TANJONG PAGAR",3.17407566733696,4.83677937896684,"$7,000 - $7,999"
"253","WEST COAST",12.6656752207479,5.60520564773781,"$7,000 - $7,999"
"254","YIO CHU KANG",0.732416824843301,3.95249091402637,"$7,000 - $7,999"
"255","YUHUA",0.221791462266807,4.77221234294574,"$7,000 - $7,999"
"256",NA,NA,NA,"$7,000 - $7,999"
"257","ALJUNIED",5.16834189160991,3.49061653390775,"$8,000 - $8,999"
"258","ANG MO KIO",6.75025159035371,3.80792116633544,"$8,000 - $8,999"
"259","BISHAN-TOA PAYOH",3.89957686981265,4.7182626891239,"$8,000 - $8,999"
"260","BUKIT BATOK",0.330109397459465,3.43934981848973,"$8,000 - $8,999"
"261","BUKIT PANJANG",0.573087937522817,4.24469413233458,"$8,000 - $8,999"
"262","CHUA CHU KANG",4.58057675725986,4.50376766204455,"$8,000 - $8,999"
"263","EAST COAST",5.66851980924165,3.62032659929529,"$8,000 - $8,999"
"264","HOLLAND-BUKIT TIMAH",4.54757743459956,4.18383232069122,"$8,000 - $8,999"
"265","HONG KAH NORTH",0.489507998968133,3.45306005363457,"$8,000 - $8,999"
"266","HOUGANG",0.420190861867775,3.39403973509934,"$8,000 - $8,999"
"267","JALAN BESAR",2.17143351152746,3.22839106157923,"$8,000 - $8,999"
"268","JURONG",3.09571857997873,3.6700933699986,"$8,000 - $8,999"
"269","KEBUN BARU",0.949329017696598,3.06374997659556,"$8,000 - $8,999"
"270","MACPHERSON",0.528769536570379,3.90878090451228,"$8,000 - $8,999"
"271","MARINE PARADE",4.34512137568526,3.57124056438456,"$8,000 - $8,999"
